datetime,text,username
2022-07-21 14:04:46+00:00,"@giulicitte52 @Marziaxmarziax @LucaBizzarri Servo nato ue, cioè di noi stessi, è un bel complimento che ha fatto a draghi🙂 Invece lo zar nano, lui si che ci ha tirato in mezzo a una guerra inutile, come lo definisce?",harmanleroux
2022-07-21 14:04:46+00:00,@LaCapone88 Ti faccio una proposta: tu e il tuo nano in una casa di 50 mq nel centro di Napoli ed io con con mia moglie e i nostri nani nella tua ad Aversa 😂😂😂,jiennense81
2022-07-21 14:03:50+00:00,"Gasquet è 183cm, è 8cm in più di me, e sembra un nano (con tutto rispetto)",NonTeLoDicoh
2022-07-21 14:03:47+00:00,quando sono triste vado tra i caricamenti di @Idonotcombdolls e cerco gli screen in cui insulta il cuoco pelato bastardo di tiktok,iitslux24
2022-07-21 14:03:31+00:00,"ora doveva avere quelle labbra e doveva averle nel modo più sexy possibile.
“marshall, non fare esplodere la tenda” lanciò al nano una boccetta di funghi esplosivi con cui stava sperimentando nuovi cocktail “mamma e papà hanno da fare” puntualizzò prima che cominciasse a",serafinehogws
2022-07-21 14:02:32+00:00,@matteorenzi Se prendi il 7% è grasso che cola....,Robertocacchia
2022-07-21 14:02:17+00:00,Dite all'obeso di sbloccarmi,ngiustament
2022-07-21 13:59:05+00:00,"@felicya2000 @DanielaMgam Col pd o con Renzi ,nano maledetto",vitoanguti
2022-07-21 13:58:21+00:00,@grande_luciano Il nano più cattivo del pianeta,VirginiaDeLeyv1
2022-07-21 13:58:06+00:00,"""Il PD"" è un argine per fermare questa destra becera,non sarà l'optimus ma pensare che il trio lescano(salvini meloni ,nano di arcore)gestisca questo paese è da folli!!!nessun diritto civile nell'agenda di questi professionisti della menzogna....",CeresaRaffaele
2022-07-21 13:58:03+00:00,@icebergfinanza Un nano può sempre trovare lavoro al circo…,eurospin
2022-07-21 13:57:38+00:00,dov’è il pelato di tiktok che deve dirmi quale canzone mi ricorda perché mi ricorda qualcosa e sono giorni che sto impazzendo https://t.co/9B3oA3JVDo,imbehindthemall
2022-07-21 13:57:22+00:00,"@araihcjajaaa Jimin:nano, Namu o papà, Yoonghino er micione, Gianni o giancocco, Jin omma, tae, tata o la mia bimba, hoba.",minsarahyoon
2022-07-21 13:55:54+00:00,@sebmes Cosa successa un nano secondo dopo il voto in Senato.,Gepi44591026
