datetime,text,username
2022-07-21 11:49:06+00:00,@NoRulerZ2 @tenniscrochet Nì. Se sei grassa contribuisce,maloeducata
2022-07-21 11:48:38+00:00,"Il prossimo giro ricordatevelo, senza se e senza ma, sarà : democrazia contro fasciopopulisti. Non fatevi ingannare dai distinguo del nano arcoriano. È un 🤡 ai titoli di coda ma per adesso ha le tv. Ricordo che gli andranno tolte e le frequenze liberalizzate. https://t.co/Z7ojQfOVvZ",LSveglia
2022-07-21 11:48:25+00:00,"Niente 1D, niente zainetto, niente nano bastardo, niente fruttaiolo, niente caparezza versione canadese...FERMATEMI PRIMA CHE COLLASSO https://t.co/1JXHUADSNr",rostrez
2022-07-21 11:47:17+00:00,@MattOneMouse Siore e siori... il nano venezianooo...,MPilotto
2022-07-21 11:46:43+00:00,"@asiram1308 Esti cazzi ora godo ....
Quel nano di brunetta avete visto dove scapperà?
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣",TweetDiPopolo
2022-07-21 11:46:33+00:00,"@pdnetwork @EnricoLetta @Tg1Rai VERGOGNA pd!
sono 14 anni che il pd non azzecca MANCO UNA!
ma siete al soldo del nano pelato?tutti corrotti?
3 COSE BUONE CHE AVETE FATTO
PER ITALIA ULTIMI anni?
un esecutivo melloni,salvini,berlusca va bene x voi?
avete lasciato il POPOLO in mano a puffetta ex giornalista!",papAris92748574
2022-07-21 11:46:33+00:00,"@pdnetwork @EnricoLetta @Tg1Rai VERGOGNA pd!
sono 14 anni che il pd non azzecca MANCO UNA!
ma siete al soldo del nano pelato?tutti corrotti?
3 COSE BUONE CHE AVETE FATTO
PER ITALIA ULTIMI anni?
un esecutivo melloni,salvini,berlusca va bene x voi?
avete lasciato il POPOLO in mano a puffetta ex giornalista!",papAris92748574
2022-07-21 11:44:54+00:00,@Michele75681042 A fare in culo e a spalare merda essendo un nano di merda,Tiziano35908530
2022-07-21 11:44:53+00:00,Brunetta com'era? Il cotton fioc fino al cervello? Su🅱️🅱️hiami l'🐦 nano di 💩 del cazzo 👍🏻,Nietzschelismo
2022-07-21 11:44:02+00:00,Oh sii grasso che cola: smettila e cambia gli specchi di casa!!!! https://t.co/eipnaHz3uq,SalvatoreCrisc8
2022-07-21 11:43:39+00:00,@Ginger_Eil Un tempo si usava la sugna (grasso di maiale),MrSpazzaneve
2022-07-21 11:42:55+00:00,"@borghi_claudio ""un nano
è una carogna di sicuro
perché ha il cuore toppo,
troppo vicino al buco del culo""
De Andrè
la verità è che voleva essere lui il pmc in questa fase pre elettorale
grande stratega il ""berlusca""
si si perché questo risultato è sua opera
viva SILVIO!!!",DonnaFilomena_
2022-07-21 11:42:28+00:00,@PazzoperPazzo Aiuto pare il ciccione di “affari di famiglia”,ilragazzotopo
2022-07-21 11:42:27+00:00,"@lorepregliasco anche tu però, 
mettere IV con il PD ,
 ma ti pagano??
forse non hai ben capito, come tutti tuoi colleghi,
 il PD dopo questi numeri se arriva al 14% è  grasso che cola, 
e sicuramente a questo giro non avrà  il minimo appoggio da IV 
 che continuassero con i pentadementi",MComunanza
2022-07-21 11:41:51+00:00,@hsxIover lui non mi segue ed è pelato non mento mai,flowerfortay
2022-07-21 11:39:21+00:00,"@dottorbarbieri Solo per boomer
""Nano nano""🖖",MarcelloTallo
