datetime,text,username
2022-07-21 12:01:16+00:00,@llovebandana stupido ciccione,purpleepotatoo
2022-07-21 12:01:05+00:00,"@PaperinikEdonna @matteorenzi Se arriva allo 0,5% è grasso che cola",maurotroiani2
2022-07-21 12:00:49+00:00,@TweetDiPopolo E' nano ma lo troveremo🤣senza scorta!,asiram1308
2022-07-21 12:00:46+00:00,@AntonelloAng @dragonerossoen1 Se ne è andato anche il nano,Elena21073190
2022-07-21 12:00:20+00:00,@_Dluk_ ma te sei pelato e bianco alpino,soldatagranata
2022-07-21 11:59:56+00:00,@matlink1977 @mbartolotta63 Con quello che se magna sto' ciccione   hi lo assume? Lo dovrebbero pagare  15.000 euro al mese ma per fare le pulizie mi sembra una paga esagerata.,robydemicheli
2022-07-21 11:59:35+00:00,"@eadaimon @PalliCaponera Io no, in compenso ho una ragazza in intimo, normopeso, che dice ""non ditemi grassa"". Immagino sia dimagrita e comprensibilmente cerchi, anche se in un modo che non è il mio, conferme. Alcuni commenti sono da vomitare.",mariateresacip
2022-07-21 11:58:24+00:00,Onesto fa ridere perchè se non avesse vinto non l'avrebbero mai più cacata in qualsiasi foto/clip dato che il pelato la odia https://t.co/vg25cetd4N,Guess_we_should
2022-07-21 11:56:42+00:00,@fratotolo2 A  casa  il  nano e a  calci  in  culo  😅😅😅😅,Barby02353514
2022-07-21 11:56:31+00:00,@marbellapelato @mattia1908_ non sei seriamente pelato,soldatagranata
2022-07-21 11:54:50+00:00,@ilconte_dantes @GiusePat @felice_nano @ilmora61 ti capisco https://t.co/cs7zsk45sB,LaBombetta76
2022-07-21 11:54:17+00:00,"@GiusePat @felice_nano @ilmora61 @LaBombetta76 no, la triste verità è che mi sono fatto prendere dal rancore, come al solito.
Talvolta non riesco a trattenermi...",ilconte_dantes
2022-07-21 11:53:03+00:00,L’ottavo nano Brunettolo https://t.co/pk6V0Rhsxo,GkzDracula
2022-07-21 11:52:15+00:00,"Niente 1D, niente zainetto, niente nano bastardo, niente fruttaiolo, niente caparezza versione canadese...FERMATEMI PRIMA CHE COLLASSO https://t.co/R3nfgzXSac",rostrez
2022-07-21 11:52:06+00:00,@strange_days_82 Come fai a vedere un nano tra mille persone???,LambertoLucare3
