datetime,text,username
2022-07-22 16:23:50+00:00,@nano More nano,pahissonni
2022-07-22 16:23:27+00:00,"@Annalisafri .....""un nano
È una carogna di sicuro
Perché ha il cuore troppo
Troppo vicino al buco del culo""....(cit. Fabrizio de André)

NESSUNO!",mauroevangelis1
2022-07-22 16:22:35+00:00,"@LegaSalvini Apparte il ridurre il tutto ad una sfida da bar,il problema è proprio questo.Avete mandato via una persona competente e riconosciuta in tutto il mondo a favore di chi?Chi si salva fra l’imbecille,l’urlatrice e il nano?Vi mancavano basi,serietà,competenze e onestá.Siete ridicoli",Maraskino11
2022-07-22 16:22:26+00:00,@facciamo_un il mio tipo ideale va dal ragazzo emaciato biondo al 40enne pelato con la pancia da birra ho un range molto ampio,piersuco
2022-07-22 16:21:44+00:00,@AndreaTiberio7 Petagna lo abbiamo sbolognato al Monza del nano.,Vanhacker
2022-07-22 16:21:17+00:00,"@michaelnagar007 Ieri Silvio è stato grande! Evidentemente parlava di morte politica, ma il nano non lo ha capito",info25068942
2022-07-22 16:19:55+00:00,"@AleBonan cortesemente,potresti rifare la puntata con Aldo grasso,ciccio Graziani,eraldo pecci e il giornalista fiorentino?c’è da parlare di bremer…vi porto le tisane rilassanti",Isidoro74725961
2022-07-22 16:16:13+00:00,@yvanteguk poi voglio la foto di te pelata,defenxfalls
2022-07-22 16:15:44+00:00,"@DeerEwan Chi sogna i milioni, chi gioca d'azzardo
Chi gioca coi fili, chi ha fatto l'indiano
Chi fa il contadino, chi spazza i cortili
Chi ruba, chi lotta, chi ha fatto la spia

Na nana nana, na na na na
Ma il cielo è sempre più blu
Rino Gaetano 34 anni fa",marchesiellon
2022-07-22 16:15:32+00:00,"@nanopunketa Awww, rivers fan del pelusa uwu
OMLA nano, bonito día uwu",alejandrocha22
